AVAPS-T07 STA 234020777 240813 174401.27
AVAPS-T07 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T07 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T07 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T07 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D07 P00 234020777 240813 174422.00  856.20  20.37  12.88 179.79 222.75  -0.16  -22.101933   6.006360 99999.00  10  12.88 999.00  10  0.13 13862.07
AVAPS-D07 P10 234020777 240813 174422.25 9999.00  99.00 999.00 179.79 222.78  -0.28  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174422.50  856.33  20.37  12.88 179.77 222.78  -0.22  -22.101937   6.007365 99999.00  10  12.88 999.00  10  0.13 13861.93
AVAPS-D07 P10 234020777 240813 174422.75 9999.00  99.00 999.00 179.74 222.78  -0.30  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174423.00  856.13  20.37  12.87 179.72 222.79  -0.24  -22.101941   6.008371 99999.00  10  12.87 999.00  10  0.13 13861.78
AVAPS-D07 P10 234020777 240813 174423.25 9999.00  99.00 999.00 179.69 222.81  -0.25  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174423.50  856.17  20.38  12.87 179.67 222.82  -0.22  -22.101947   6.009376 99999.00  10  12.87 999.00  10  0.13 13861.61
AVAPS-D07 P10 234020777 240813 174423.75 9999.00  99.00 999.00 179.63 222.82  -0.21  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174424.00  856.24  20.37  12.87 179.60 222.85  -0.15  -22.101953   6.010381 99999.00  10  12.87 999.00  10  0.13 13861.46
AVAPS-D07 P10 234020777 240813 174424.25 9999.00  99.00 999.00 179.59 222.85  -0.31  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174424.50  856.45  20.38  12.88 179.55 222.87  -0.15  -22.101960   6.011386 99999.00  10  12.88 999.00  10  0.13 13861.30
AVAPS-D07 P10 234020777 240813 174424.75 9999.00  99.00 999.00 179.53 222.86  -0.33  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174425.00  856.17  20.38  12.88 179.49 222.87  -0.39  -22.101968   6.012392 99999.00  10  12.88 999.00  10  0.13 13861.16
AVAPS-D07 P10 234020777 240813 174425.25 9999.00  99.00 999.00 179.47 222.90  -0.35  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174425.50  856.32  20.38  12.88 179.44 222.91  -0.32  -22.101978   6.013397 99999.00  10  12.88 999.00  10  0.13 13860.97
AVAPS-D07 P10 234020777 240813 174425.75 9999.00  99.00 999.00 179.40 222.90  -0.27  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174426.00  856.33  20.38  12.87 179.36 222.92  -0.25  -22.101988   6.014403 99999.00  10  12.87 999.00  10  0.13 13860.80
AVAPS-D07 P10 234020777 240813 174426.25 9999.00  99.00 999.00 179.34 222.95  -0.25  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174426.50  856.13  20.39  12.87 179.32 222.95  -0.20  -22.102000   6.015408 99999.00  10  12.87 999.00  10  0.13 13860.64
AVAPS-D07 P10 234020777 240813 174426.75 9999.00  99.00 999.00 179.29 222.96  -0.19  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174427.00  856.08  20.39  12.86 179.26 222.97  -0.16  -22.102013   6.016414 99999.00  10  12.86 999.00  10  0.13 13860.50
AVAPS-D07 P10 234020777 240813 174427.25 9999.00  99.00 999.00 179.23 222.99  -0.13  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174427.50  856.24  20.39  12.87 179.21 222.99  -0.06  -22.102026   6.017419 99999.00  10  12.87 999.00  10  0.13 13860.39
AVAPS-D07 P10 234020777 240813 174427.75 9999.00  99.00 999.00 179.19 223.01   0.01  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174428.00  856.11  20.39  12.87 179.16 223.00   0.10  -22.102040   6.018425 99999.00  10  12.87 999.00  10  0.13 13860.37
AVAPS-D07 P10 234020777 240813 174428.25 9999.00  99.00 999.00 179.13 223.02   0.17  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174428.50  856.17  20.39  12.85 179.12 223.02   0.19  -22.102055   6.019431 99999.00  10  12.85 999.00  10  0.13 13860.40
AVAPS-D07 P10 234020777 240813 174428.75 9999.00  99.00 999.00 179.11 223.03   0.21  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174429.00  856.25  20.39  12.85 179.08 223.00   0.27  -22.102071   6.020437 99999.00  10  12.85 999.00  10  0.13 13860.48
AVAPS-D07 P10 234020777 240813 174429.25 9999.00  99.00 999.00 179.06 222.99   0.34  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
