AVAPS-T04 STA 234030497 240813 172632.54
AVAPS-T04 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T04 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T04 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T04 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D04 P00 234030497 240813 172656.25  856.24  21.22  11.37 271.29 194.77   0.55  -23.335512   4.800795 99999.00  10  11.37 999.00  10  0.16 13872.59
AVAPS-D04 P10 234030497 240813 172656.50 9999.00  99.00 999.00 271.27 194.79   0.38  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172656.75  856.39  21.21  11.36 271.25 194.78   0.35  -23.334636   4.800775 99999.00  10  11.36 999.00  10  0.16 13872.82
AVAPS-D04 P10 234030497 240813 172657.00 9999.00  99.00 999.00 271.23 194.77   0.33  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172657.25  856.22  21.22  11.34 271.21 194.81   0.32  -23.333760   4.800756 99999.00  10  11.34 999.00  10  0.16 13873.03
AVAPS-D04 P10 234030497 240813 172657.50 9999.00  99.00 999.00 271.19 194.78   0.28  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172657.75  856.29  21.22  11.33 271.16 194.77   0.17  -23.332884   4.800738 99999.00  10  11.33 999.00  10  0.16 13873.21
AVAPS-D04 P10 234030497 240813 172658.00 9999.00  99.00 999.00 271.14 194.78   0.23  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172658.25  856.30  21.22  11.37 271.13 194.79   0.16  -23.332008   4.800720 99999.00  10  11.37 999.00  10  0.16 13873.34
AVAPS-D04 P10 234030497 240813 172658.50 9999.00  99.00 999.00 271.11 194.80   0.14  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172658.75  856.18  21.22  11.34 271.08 194.79   0.09  -23.331132   4.800703 99999.00  10  11.34 999.00  10  0.16 13873.46
AVAPS-D04 P10 234030497 240813 172659.00 9999.00  99.00 999.00 271.06 194.79   0.17  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172659.25  856.10  21.22  11.36 271.04 194.78   0.14  -23.330256   4.800687 99999.00  10  11.36 999.00  10  0.16 13873.55
AVAPS-D04 P10 234030497 240813 172659.50 9999.00  99.00 999.00 271.03 194.78  -0.05  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172659.75  856.07  21.22  11.34 271.00 194.80   0.05  -23.329379   4.800671 99999.00  10  11.34 999.00  10  0.16 13873.61
AVAPS-D04 P10 234030497 240813 172700.00 9999.00  99.00 999.00 270.98 194.81   0.03  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
